word,pos,phonetic,chinese,definition_en,synonym1,synonym2,synonym3,easy_sentence,part3_sentence,sentence_cn_easy,sentence_cn_part3
item,n.,/ˈaɪtəm/,一件商品（或物品）,a single thing,thing,object,article,This ______ is on sale.,Every ______ in a shop must show a clear price.,这件商品在打折。,商店里每件商品都必须标明清晰价格。
kitchen,n.,/ˈkɪʧən/,厨房,a room used for cooking,cooking area,cookhouse,galley,The ______ is small but clean.,A safe ______ prevents burns for young children.,厨房很小但很干净。,安全的厨房防止幼儿烫伤。
later,adv.,/ˈleɪtə/,以后；后来,after some time has passed,afterwards,then,subsequently,See you ______ this evening.,Children who read more learn more ______ in life.,今晚晚些见。,阅读更多的孩子日后在生活中学到更多。
lecture hall,n.,/ˈlɛkʧə/ /hɔːl/,演讲厅,a large room for talks,auditorium,classroom,theatre,The talk is in the ______.,A full ______ shows strong interest in the topic.,演讲在大礼堂。,满座的大礼堂显示对该话题的浓厚兴趣。
lecturer,n.,/ˈlɛkʧərə/,讲师,a teacher at a university,instructor,professor,teacher,The ______ explained the chart.,A good ______ makes hard ideas simple.,讲师讲解了图表。,好的讲师把难懂的概念讲简单。
letter,n.,/ˈlɛtə/,字母,a written message on paper,note,message,mail,I got a ______ from my friend.,A thank-you ______ teaches children good manners.,我收到朋友的一封信。,感谢信教孩子良好的礼貌。
list,n.,/lɪst/,名单; 目录,words written one below another,catalogue,roll,register,Make a ______ of what to buy.,A clear ______ helps shoppers avoid waste.,列一张要买的东西的清单。,清晰的清单帮助购物者避免浪费。
living room,n.,/ˈlɪvɪŋ/ /ruːm/,卧室,a room to sit and relax in,sitting room,lounge,front room,We watch TV in the ______.,A tidy ______ helps a family feel calm.,我们在客厅看电视。,整洁的客厅让家庭感到平静。
location,n.,/ləʊˈkeɪʃən/,位置,a place or position,place,site,position,The ______ of the school is good.,A school's ______ affects how safe children feel.,学校的位置很好。,学校的位置影响孩子的安全感。
main,adj.,/meɪn/,主要的,most important,chief,major,primary,The ______ reason is the cost.,The ______ cause of illness is often poor air.,主要原因是费用。,疾病的主因常是糟糕的空气。
matter,n.,/ˈmætə/,问题,a subject or problem,issue,topic,affair,It is a private ______.,Traffic is a daily ______ for most big cities.,这是私事。,交通是大多数大城市的日常问题。
mention,v.,/ˈmɛnʃən/,提到；说到,to speak about something briefly,say,note,refer to,He didn't ______ the price.,Reports should ______ both good and bad news.,他没提到价格。,报道应同时提及好消息与坏消息。
messy,adj.,/ˈmɛsi/,杂乱的,not tidy or clean,untidy,dirty,disordered,His desk is very ______.,A ______ room can make study harder.,他的书桌很乱。,凌乱的房间会让学习更困难。
Monday,n.,/ˈmʌndeɪ/,星期一,the first day of the working week,the first weekday,start of week,weekday,We meet on ______ morning.,Many people feel tired on ______ after a weekend.,我们周一上午见面。,许多人在周末后的周一感到疲惫。
nervous,adj.,/ˈnɜːvəs/,紧张的,worried or afraid,anxious,uneasy,tense,I feel ______ before big tests.,Some students are ______ about speaking in class.,大考之前我感到紧张。,一些学生在课堂上发言会紧张。
notes,n.,/nəʊts/,笔记（复数）,short written points to remember,jottings,memos,records,Read my ______ before the exam.,Good ______ help students review faster.,考前读一下我的笔记。,好笔记帮助学生更快复习。
number,n.,/ˈnʌmbə/,数字,a sign used for counting,figure,digit,amount,What is your phone ______?,A small ______ of students finish homework on time.,你的电话号码是多少？,少数学生能按时完成作业。
of course,phr.,/ɒv/ /kɔːs/,当然,"yes, certainly; naturally",certainly,surely,naturally,"______, I will help you.","______, clean air is important for every city.",当然，我会帮你。,当然，清洁空气对每个城市都很重要。
office,n.,/ˈɒfɪs/,办事处,a place to work at a desk,workplace,desk area,study,She works in an ______.,A clean ______ helps people focus and meet clients well.,她在办公室工作。,整洁的办公室有助于人们专注并接待好客户。
opinion,n.,/əˈpɪnjən/,意见；想法,what you think about something,view,belief,thought,"In my ______, reading is useful.",Public ______ on the environment is changing fast.,依我看，阅读很有用。,公众对环境的看法正在迅速改变。
organise,v.,/ˈɔːɡənaɪz/,组织,to plan and arrange things,arrange,plan,order,We ______ a party for her.,Cities must ______ transport to reduce traffic jams.,我们为她组织了派对。,城市必须组织交通以减少拥堵。
organize,v.,/ˈɔːɡənaɪz/,组织；筹备,to plan and arrange things (US spelling),arrange,plan,order,We ______ a party for him.,Schools should ______ trips that teach real skills.,我们为他组织了派对。,学校应组织能传授真正技能的出游。
outside,adv.,/ˌaʊtˈsaɪd/,在……外面,not inside; out of doors,outdoors,out,externally,Let's play ______ in the sun.,Children who play ______ often feel happier.,我们到户外阳光下玩吧。,常在户外玩耍的孩子往往更快乐。
oven,n.,/ˈʌvən/,烤箱,a box that heats food to cook it,stove,cooker,roaster,Put the cake in the ______.,A clean ______ keeps a kitchen safe for the family.,把蛋糕放进烤箱。,干净的烤箱保障家人厨房安全。
pack,v.,/pæk/,（把...）打包,to put things into a bag,fill,cram,box up,I ______ my bag for the trip.,Families ______ light to travel more easily.,我为旅行收拾行李。,家庭轻装出行能更轻松旅行。
personality,n.,/ˌpɜːsənˈæləti/,个性,the kind of person you are,character,nature,temperament,She has a warm ______.,A strong ______ helps a leader win trust.,她性格温和。,坚强的性格帮助领导者赢得信任。
pillow,n.,/ˈpɪləʊ/,枕头,a soft thing to rest your head on,cushion,headrest,bolster,I need a ______ for the bed.,A good ______ improves the quality of sleep.,我需要个枕头放在床上。,好枕头提升睡眠质量。
poster,n.,/ˈpəʊstə/,海报,a big picture put on a wall,bill,placard,notice,He put a ______ on the wall.,A clear ______ tells people about a school event.,他把一张海报贴在墙上。,清晰的海报告知人们学校活动。
prefer to,phr.,/prɪˈfɜː/ /tuː/,更喜欢,to like one thing more than another,would rather,like better,choose to,I ______ read books at home.,Many students ______ to study with friends.,我更喜欢在家看书。,许多学生更喜欢和朋友一起学习。
private,adj.,/ˈpraɪvət/,私人的,"for one person only, not public",personal,own,secret,This is my ______ room.,A ______ life is important for mental health.,这是我的私人房间。,私人生活对心理健康很重要。
provide,v.,/prəˈvaɪd/,提供；供应,to give what is needed,supply,offer,give,Schools ______ meals for students.,Governments should ______ clean water for all.,学校为学生提供餐食。,政府应为所有人提供清洁用水。
quiet,adj.,/ˈkwaɪət/,安静的,with little or no noise,silent,calm,peaceful,The library is ______ and calm.,A ______ street is safer for young children.,图书馆安静而平和。,安静的街道对幼儿更安全。
reason,n.,/ˈriːzən/,原因；理由,why something happens,cause,why,explanation,What is the ______ for the delay?,The main ______ for lateness is heavy traffic.,延误的原因是什么？,迟到的主要原因是拥堵的交通。
reply,v.,/rɪˈplaɪ/,回答,to answer someone,answer,respond,retort,Please ______ to my email.,A quick ______ shows good manners in business.,请回复我的邮件。,及时回复体现职场良好素养。
rest,n.,/rɛst/,剩余部分,a break from work or activity,break,relax,pause,Let's take a ______ now.,Workers need a ______ to stay productive.,我们休息一下吧。,工人需要休息以保持效率。
Saturday,n.,/ˈsætədeɪ/,星期六,the day after Friday,the weekend day,rest day,weekend,We play football on ______.,Many families shop together on ______.,我们周六踢足球。,许多家庭在周六一起购物。
sheet,n.,/ʃiːt/,床单,cloth used on a bed,bed sheet,cover,liner,Put a clean ______ on the bed.,Fresh ______ help people sleep well at night.,在床上铺一张干净的床单。,干净的床单帮助人们夜间安睡。
single,adj.,/ˈsɪŋɡəl/,单个的,only one; not double,sole,only,one,I have a ______ ticket.,A ______ child often gets more attention at home.,我有一张单程票。,独生子女常在家中得到更多关注。
sink,n.,/sɪŋk/,洗涤池,a bowl fixed for washing,basin,washbowl,drain,Wash the cup in the ______.,A blocked ______ wastes water and time.,在水槽里洗杯子。,堵塞的水槽浪费水和时间。
sociable,adj.,/ˈsəʊʃəbəl/,好交际的,liking to meet and talk to people,friendly,outgoing,social,She is very ______ at parties.,A ______ child makes friends more easily.,她在聚会上很爱交际。,爱交际的孩子更容易交朋友。
sofa,n.,/ˈsəʊfə/,长沙发,a long soft seat for two or more,couch,settee,lounge,Sit on the ______ and relax.,A small ______ fits a tiny flat better.,坐在沙发上放松。,小沙发更适合小公寓。
status,n.,/ˈsteɪtəs/,身份,your position or state,position,state,standing,What is your job ______?,Social ______ matters less than real skills.,你的职业状态是什么？,社会地位不如真正的能力重要。
study,v.,/ˈstʌdi/,书房,to learn by reading or practice,learn,read,revise,I ______ English every day.,Students who ______ abroad learn new cultures.,我每天学英语。,出国留学的学生了解新文化。
superfast,adj.,/ˌsuːpəˈfɑːst/,超级快的,very fast,high-speed,rapid,quick,We have ______ internet at home.,______ trains connect cities in hours.,我们家有超快的网络。,高铁在数小时内连接城市。
sure,adj.,/ʃɔː/,确信；肯定,certain; without doubt,certain,confident,positive,Are you ______ about the time?,Be ______ of facts before you share news.,你确定时间吗？,在分享消息前要确定事实。
terraced house,n.,/ˈtɛrəst/ /haʊs/,排屋,a house joined in a row of others,row house,town house,linked house,They live in a ______.,Old ______ can be kept to save city land.,他们住在一栋联排屋。,保留老旧联排屋能节省城市土地。
through,prep.,/θruː/,自始至终；从头到尾,from one side to the other,across,via,past,We walked ______ the park.,A new road goes ______ the whole city.,我们穿过公园。,一条新路贯穿整座城市。
tick,v.,/tɪk/,标记号；打上钩,to mark with a small check,check,mark,note,"______ the right box, please.",Teachers ______ correct answers in red.,请在正确的方框打勾。,老师用红笔勾出正确答案。
together,adv.,/təˈɡɛðə/,一起,with each other,jointly,as one,with,We did the work ______.,Families that eat ______ are often closer.,我们一起完成了工作。,一起吃饭的家庭往往更亲密。
total,adj.,/ˈtəʊtəl/,总额；合计,the whole amount; complete,whole,full,complete,What is the ______ cost?,The ______ number of students affects class size.,总费用是多少？,学生总数影响班级规模。
until,conj.,/ənˈtɪl/,到；直到…,up to the time when,till,up to,before,Wait ______ I come back.,Cities should plan transport ______ late at night.,等到我回来。,城市应规划到深夜的交通。
wardrobe,n.,/ˈwɔːdrəʊb/,衣柜,a tall cupboard for clothes,closet,clothes cupboard,dresser,Hang the coat in the ______.,A small ______ suits a student's room.,把外套挂在衣柜里。,小衣柜适合学生房间。
weekday,n.,/ˈwiːkdeɪ/,周中（对比周末）,a day from Monday to Friday,working day,school day,business day,I work on a ______.,A short ______ helps students avoid stress.,我在工作日工作。,短工作日帮助学生减少压力。
weekend,n.,/ˌwiːkˈɛnd/,周末,Saturday and Sunday,rest days,off days,break,We relax at the ______.,A busy ______ can tire both parents and children.,我们在周末放松。,繁忙的周末会让父母和孩子都疲惫。
well,adv.,/wɛl/,井；水井,in a good way,nicely,properly,goodly,She speaks English ______.,A city that plans ______ serves its people better.,她英语说得很好。,规划良好的城市更好地服务民众。
what else,phr.,/wɒt/ /ɛls/,有什么别的,what other thing,what more,anything else,what next,______ do you need for the trip?,"If grades fall, ______ can parents do?",旅行你还需要什么别的？,若成绩下滑，家长还能做什么？
while,conj.,/waɪl/,在间；当…候,during the time that,as,when,whereas,"______ I read, he slept.","______ cities grow, villages often lose young people.",我读书时他睡着了。,城市发展的同时，乡村常流失年轻人。
window,n.,/ˈwɪndəʊ/,窗户,an opening with glass in a wall,pane,casement,opening,Open the ______ for fresh air.,Big ______ let sunlight into a classroom.,打开窗户透透气。,大窗户让阳光照进教室。
apologize,v.,/əˈpɒləʤaɪz/,道歉,to say sorry for a mistake,say sorry,beg pardon,apologise,I must ______ for being late.,A leader should ______ when a plan goes wrong.,我必须为迟到道歉。,计划出错时领导者应道歉。
active,adj.,/ˈæktɪv/,活跃的,busy and moving a lot,lively,energetic,busy,He is a very ______ child.,An ______ lifestyle prevents many health problems.,他是个很活泼的孩子。,积极的生活方式预防许多健康问题。
add,v.,/æd/,增加；添加,to put more with something,put in,include,join,______ some sugar to the tea.,Cities should ______ more parks for children.,往茶里加点糖。,城市应为孩子增设更多公园。
adventure,n.,/ədˈvɛnʧə/,冒险；奇遇,an exciting trip or event,exploit,journey,experience,We had an ______ in the mountains.,Travel gives young people a sense of ______.,我们在山里经历了一次冒险。,旅行给年轻人冒险的感觉。
against,prep.,/əˈɡɛnst/,反对,opposite to; not in favour of,opposite,versus,counter to,He played ______ our team.,Many people are ______ wasting food.,他和我们队对打。,许多人反对浪费食物。
alone,adj.,/əˈləʊn/,独自,with no one else,by oneself,solo,lonely,She lives ______ in a small flat.,Old people who live ______ need more care.,她独自住在小公寓里。,独居老人需要更多关怀。
August,n.,/ˈɔːɡəst/,八月,the eighth month of the year,summer month,the eighth month,holiday month,School starts in ______.,______ is a popular month for family trips.,学校八月开学。,八月是家庭出游的热门月份。
available,adj.,/əˈveɪləbəl/,可用的；可获得的,able to be used or got,free,ready,obtainable,Is the book ______ in the library?,Public data should be ______ to all.,这本书图书馆有吗？,公共数据应人人可获取。
bat,n.,/bæt/,球棒；球拍；球板,a stick to hit a ball,club,stick,racket,He swung the ______ at the ball.,A broken ______ can end a player's turn.,他用球棒击球。,断掉的球棒会终结球员的一轮。
become,v.,/bɪˈkʌm/,开始变得；变成,to start to be something,turn into,grow to be,get to be,She wants to ______ a doctor.,Cities ______ crowded as more people arrive.,她想成为一名医生。,随着人口涌入，城市变得拥挤。
book,n.,/bʊk/,预订,pages bound together to read,volume,text,publication,I read a good ______ about space.,A ______ opens a window to other cultures.,我读了一本关于太空的好书。,书是了解其他文化的窗口。
boring,adj.,/ˈbɔːrɪŋ/,无趣的,not interesting,dull,tedious,uninteresting,The long film was ______.,A ______ class makes students lose focus.,那部长电影很无聊。,枯燥的课让学生失去专注。
bowling,n.,/ˈbəʊlɪŋ/,保龄球,a game of rolling a ball at pins,ten-pin,skittles,rolling game,We went ______ on Friday.,______ is a fun way to relax after exams.,我们周五去打保龄球。,保龄球是考后放松的好方式。
burger,n.,/ˈbɜːɡə/,汉堡包,a round sandwich with a meat filling,hamburger,sandwich,patty,I ate a ______ for lunch.,A cheap ______ is a quick meal for students.,我午餐吃了一个汉堡。,便宜的汉堡是学生快捷的一餐。
canoeing,n.,/kəˈnuːɪŋ/,划独木舟,the sport of using a small boat,kayaking,rowing,boating,We enjoyed ______ on the lake.,______ teaches young people to work as a team.,我们很喜欢在湖上划独木舟。,划独木舟教年轻人团队合作。
chocolate,n.,/ˈʧɒklət/,巧克力,a sweet brown food made from cocoa,cocoa,treat,sweet,I love ______ after dinner.,Too much ______ is bad for children's teeth.,我喜欢饭后吃巧克力。,过多巧克力有害孩子的牙齿。
climb,v.,/klaɪm/,攀登；攀爬,to go up using hands and feet,scale,ascend,go up,They ______ the hill near school.,Some animals ______ trees to find food.,他们爬上学校附近的小山。,一些动物爬树寻找食物。
coach,n.,/kəʊʧ/,长途汽车；教练,a person who trains a team,trainer,instructor,teacher,The ______ helped the team win.,A good ______ builds both skill and character.,教练帮助球队获胜。,好教练培养技能与品格。
copy,v.,/ˈkɒpi/,抄写；誊写,to write or make the same as,duplicate,reproduce,imitate,Please ______ the text into your book.,Students should not ______ in exams.,请把这段文字抄进你的书。,学生考试不应抄袭。
cricket,n.,/ˈkrɪkɪt/,板球,a game played with a bat and ball,bat-and-ball game,sport,test match,He plays ______ for the school.,______ is followed by millions in some countries.,他代表学校打板球。,在一些国家，板球有数百万粉丝。
cycling,n.,/ˈsaɪklɪŋ/,骑自行车,the sport of riding a bicycle,biking,bicycle riding,pedalling,______ is good for your health.,Safe ______ needs clear bike lanes in cities.,骑自行车对健康有益。,安全的骑行需要城市里有清晰的自行车道。
danger,n.,/ˈdeɪnʤə/,危险；风险,a risk of harm or death,risk,peril,hazard,There is ______ on the busy road.,Climate change is a ______ to coastal cities.,繁忙的马路有危险。,气候变化对沿海城市是威胁。
date,n.,/deɪt/,日期,a particular day of the month,day,time,appointment,What is the ______ today?,The ______ of an exam affects how we plan.,今天几号？,考试日期影响我们的计划。
dream,n.,/driːm/,梦想,a wish or hope for the future,hope,wish,vision,It is my ______ to travel far.,A clear ______ motivates a young person to study.,去远方旅行是我的梦想。,清晰的梦想激励年轻人学习。
east,n.,/iːst/,东；东方,the direction where the sun rises,eastward,orient,dawn side,The sun rises in the ______.,Wind from the ______ brings rain to this region.,太阳从东方升起。,东风给这个地区带来雨水。
entertainment,n.,/ˌɛntəˈteɪnmənt/,娱乐活动,things that amuse or interest people,fun,amusement,show,Films are a form of ______.,Cheap ______ helps a city's people relax.,电影是一种娱乐形式。,便宜的娱乐帮助城市居民放松。
entrance,n.,/ˈɛntrəns/,入口,a door or way into a place,door,gate,way in,The ______ is on the left.,A clear ______ helps visitors find their way.,入口在左边。,清晰的入口帮助访客找到路。
equipment,n.,/ɪˈkwɪpmənt/,设备；器材,things needed for an activity,gear,kit,tools,We bought sports ______ for school.,Good ______ improves safety in a lab.,我们为学校买了运动器材。,好器材提升实验室安全。
exhausted,adj.,/ɪɡˈzɔːstɪd/,（人）精疲力竭的,very tired,tired out,drained,weary,I was ______ after the long run.,Overwork leaves many parents ______.,长跑后我筋疲力尽。,过度工作让许多父母筋疲力尽。
fantastic,adj.,/fænˈtæstɪk/,极好的；了不起的,very good; wonderful,wonderful,great,excellent,The school trip was ______.,A ______ result encourages students to try more.,学校旅行棒极了。,出色的成果鼓励学生尝试更多。
film festival,n.,/fɪlm/ /ˈfɛstɪvəl/,电影节,an event showing many films,movie festival,cinema event,screening event,We went to a ______ in the city.,A local ______ can boost a town's culture.,我们去了城里的一个电影节。,本地电影节能提升小镇文化。
find out,phr.,/faɪnd/ /aʊt/,了解（到）；弄清,to learn or discover something,discover,learn,realise,I want to ______ the truth.,Scientists ______ new facts through careful tests.,我想查明真相。,科学家通过细致实验发现新事实。
follow,v.,/ˈfɒləʊ/,按……方式发展,to go after or obey,chase,pursue,come after,______ the path to the lake.,Young people should ______ the rules of the road.,沿着小路走到湖边。,年轻人应遵守道路规则。
forest,n.,/ˈfɒrɪst/,森林,land covered with many trees,woods,woodland,trees,We walked in the ______.,A ______ cleans the air of a whole region.,我们在森林里散步。,森林净化整个地区的空气。
geography,n.,/ʤiˈɒɡrəfi/,地理（学）,the study of the earth and places,earth study,maps,land study,We learn ______ at school.,______ explains why cities grow where they do.,我们在学校学地理。,地理解释城市为何在某处发展。
guide,n.,/ɡaɪd/,指南；手册,a person who shows the way,leader,escort,instructor,The ______ showed us the old city.,A good ______ explains both facts and local life.,导游带我们看了古城。,好的导游既讲事实也讲当地生活。
gymnastics,n.,/ʤɪmˈnæstɪks/,体操,a sport of moving the body,acrobatics,floor exercise,tumbling,She loves ______ at the club.,______ builds balance and confidence in children.,她喜欢在俱乐部练体操。,体操培养孩子的平衡与自信。
handball,n.,/ˈhændbɔːl/,手球,a game played with a ball by hand,team sport,ball game,court game,We played ______ in PE class.,______ is popular in schools across Europe.,我们在体育课打手球。,手球在欧洲各校很受欢迎。
hang,v.,/hæŋ/,悬挂；吊,to fix something at the top so it falls,suspend,fix up,dangle,______ the picture on the wall.,Cities ______ lights to celebrate festivals.,把画挂在墙上。,城市挂灯庆祝节日。
hang out with sb,phr.,/hæŋ/ /aʊt/ /wɪð/ sb,和某人一起玩,to spend time with someone,spend time with,be with,chill with,I ______ my friends after school.,Teenagers who ______ good friends learn social skills.,放学后我和朋友一起玩。,和好朋友相处的青少年学到社交技巧。
hike,n.,/haɪk/,去足；做徒步旅行,a long walk in nature,walk,trek,ramble,We went for a ______ in the hills.,A short ______ helps people relax at weekends.,我们去山里远足。,短途徒步帮助人们在周末放松。
hiking,n.,/ˈhaɪkɪŋ/,远足,the activity of long walks outdoors,walking,trekking,rambling,______ is healthy and free.,______ brings cities closer to nature.,徒步既健康又免费。,徒步让城市更亲近自然。
hill,n.,/hɪl/,山丘；小山,land higher than the flat ground,slope,mound,rise,The ______ behind school is green.,Building on a ______ can risk soil loss.,学校后面的小山是绿色的。,在山坡上建房可能带来水土流失风险。
hockey,n.,/ˈhɒki/,曲棍球,a game played with sticks and a ball,stick game,field game,team sport,He plays ______ for the school.,______ teaches young people to work as a team.,他代表学校打曲棍球。,曲棍球教年轻人团队合作。
holiday,n.,/ˈhɒlədeɪ/,假期,a time off from work or school,vacation,break,time off,We went on ______ to the sea.,A long ______ helps a family reduce stress.,我们去海边度假。,长假帮助家庭减轻压力。
hometown,n.,/ˈhəʊmtaʊn/,家乡,the town you grew up in,home town,birthplace,native place,This small city is my ______.,People often miss the food of their ______.,这座小城是我的家乡。,人们常想念家乡的食物。
Icelandic,adj.,/aɪsˈlændɪk/,冰岛的,from or of Iceland,from Iceland,of Iceland,Iceland's,She speaks ______ with her father.,______ stories tell of ice and fire.,她和父亲说冰岛语。,冰岛的传说讲述冰与火。
India,n.,/ˈɪndiə/,印度,a large country in south Asia,the subcontinent,south Asian nation,Asian country,______ has many languages and foods.,______ shows how culture varies within one nation.,印度有许多语言与食物。,印度展示了一国之内文化的多样。
instruction,n.,/ɪnˈstrʌkʃən/,指示；命令,steps telling how to do something,direction,guide,order,Read the ______ before you start.,Clear ______ help users avoid mistakes.,开始前先读说明。,清晰的说明帮助用户避免错误。
judo,n.,/ˈʤuːdəʊ/,柔道,a sport of grappling and throws,martial art,wrestling sport,combat sport,He learns ______ twice a week.,"______ teaches control, not only strength.",他每周学两次柔道。,柔道教的是控制，不只是力量。
July,n.,/ʤʊˈlaɪ/,七月,the seventh month of the year,summer month,mid-year month,holiday month,We travel in ______ every year.,______ is the peak month for family trips.,我们每年七月去旅行。,七月是家庭出游的高峰月。
June,n.,/ʤuːn/,六月,the sixth month of the year,early summer month,mid-year month,summer month,School ends in ______.,______ marks the start of the long break.,学校六月放假。,六月标志长假的开始。
karate,n.,/kəˈrɑːti/,空手道,a sport of hitting with the hands,martial art,fighting sport,combat sport,She practises ______ at the gym.,______ builds focus and self-control.,她在健身房练空手道。,空手道培养专注与自控。
kick,v.,/kɪk/,踢；踹,to hit something with the foot,strike,boot,hit,He ______ the ball into the goal.,Children ______ a ball to learn balance.,他把球踢进球门。,孩子踢球来学习平衡。
laptop,n.,/ˈlæptɒp/,笔记本电脑,a small computer you can carry,notebook computer,portable computer,PC,I study on my ______.,A ______ lets students learn anywhere.,我用笔记本电脑学习。,笔记本电脑让学生随处学习。
leisure activity,n.,/ˈlɛʒər/ /ækˈtɪvəti/,休闲活动,something fun done in free time,hobby,free-time activity,pastime,Reading is my favourite ______.,A healthy ______ keeps the mind active.,阅读是我最爱的休闲活动。,健康的休闲活动让头脑保持活跃。
local,adj.,/ˈləʊkəl/,地方的；当地的,from or of this area,nearby,native,regional,We ate at a ______ restaurant.,______ food tells you a lot about a place.,我们在一家本地餐馆吃饭。,本地食物能告诉你许多关于一个地方的事。
look after,phr.,/lʊk/ /ˈɑːftə/,照顾,to care for a person or thing,care for,take care of,mind,I ______ my little sister.,Parents who ______ children well build trust at home.,我照顾我的小妹妹。,照顾好孩子的父母在家中建立信任。
mind,v.,/maɪnd/,头脑；大脑,to feel bothered or object,care,object,bother,Do you ______ if I sit here?,Most people do not ______ small changes at home.,你介意我坐这儿吗？,大多数人不介意家里的微小改变。
mountain,n.,/ˈmaʊntɪn/,山,very high land with a peak,peak,highland,slope,We climbed the ______ near the village.,A ______ can block wind and shape the weather.,我们爬了村子附近的山。,山能挡风并影响气候。
neck,n.,/nɛk/,颈；脖子,the part joining head and body,throat,nape,collar,She wears a scarf on her ______.,Looking down at phones hurts the ______.,她脖子上围了条围巾。,低头看手机伤脖子。
net,n.,/nɛt/,网,something with holes to catch balls,mesh,web,grille,The ball hit the ______ and bounced.,A fishing ______ feeds many coastal towns.,球撞到网弹了回来。,渔网养活许多沿海小镇。
pass,v.,/pɑːs/,经过,to go past; to succeed in,go by,move past,succeed,He ______ the exam with a high score.,Students must ______ exams to move up a grade.,他以高分通过了考试。,学生必须考试及格才能升年级。
popular,adj.,/ˈpɒpjələ/,大众喜爱的；,liked by many people,liked,favourite,well-liked,Football is very ______ in this school.,A ______ park brings a community together.,足球在这所学校很受欢迎。,受欢迎的公园把社区凝聚在一起。
rugby,n.,/ˈrʌɡbi/,橄榄球,a game with an oval ball,contact sport,ball game,team sport,He plays ______ for the local club.,______ builds strength and team spirit.,他为本地球队打橄榄球。,橄榄球培养力量与团队精神。
rule,n.,/ruːl/,规则,what you must or must not do,law,order,regulation,Follow the ______ of the game.,Clear ______ make a school fair for all.,遵守游戏规则。,清晰的规则让学校对所有人公平。
sail,v.,/seɪl/,驾驶帆船航行,to travel on water in a boat,navigate,cruise,voyage,They ______ to the small island.,Ships ______ goods between countries every day.,他们乘船去了小岛。,船只每天在各国间运送货物。
sailing,n.,/ˈseɪlɪŋ/,帆船运动,the sport of moving boats by wind,boating,yachting,wind sport,______ is fun in warm weather.,______ teaches young people about the wind and sea.,帆船运动在暖天很有趣。,帆船运动教年轻人认识风与海。
scary,adj.,/ˈskeəri/,可怕的,frightening; causing fear,frightening,alarming,eerie,The film was too ______ for me.,A ______ story can stop a child from sleeping.,那部电影对我来说太吓人。,恐怖故事会让孩子睡不着。
score,v.,/skɔː/,得分,to get a point in a game,get a point,make a goal,net,He ______ a goal in the final minute.,Teams that ______ more often win the match.,他在最后一分钟进了一球。,进球更多的球队通常获胜。
sea,n.,/siː/,海,the salt water covering much of earth,ocean,waves,water,We swam in the ______ near home.,The ______ level is rising with climate change.,我们在家附近的海里游泳。,海平面随气候变化而上升。
send,v.,/sɛnd/,邮寄；发送,to make something go to someone,post,mail,dispatch,I ______ a postcard to my friend.,Schools ______ reports to parents each term.,我给朋友寄了张明信片。,学校每学期给家长发报告。
set sail,phr.,/sɛt/ /seɪl/,起航,to begin a trip by boat,depart by sea,start sailing,leave port,The ship ______ at dawn.,Explorers ______ to map unknown coasts.,船在黎明起航。,探险家起航绘制未知海岸。
several,adj.,/ˈsɛvərəl/,几个；一些,more than two but not many,some,a few,various,We read ______ books this month.,______ cities joined the clean-air plan.,这个月我们读了好几本书。,好几座城市加入了清洁空气计划。
snowboarder,n.,/ˈsnəʊˌbɔːdə/,单板滑雪者,a person who rides a snowboard,boarder,winter sportsman,rider,He is a skilled ______.,A young ______ needs warm and safe gear.,他是个熟练的单板滑雪者。,年轻单板滑雪者需要保暖安全的装备。
snowboarding,n.,/ˈsnəʊˌbɔːdɪŋ/,单板滑雪（运动）,the sport of a board on snow,winter sport,boarding,slope sport,______ is exciting but risky.,______ brings tourists to cold mountain towns.,单板滑雪刺激但有风险。,单板滑雪为寒冷山城带来游客。
star,n.,/stɑː/,明星；体坛高手,a famous person; a point of light,celebrity,famous person,idol,She is a film ______ in her country.,A sports ______ can inspire young people.,她是国内的电影明星。,体育明星能激励年轻人。
still,adv.,/stɪl/,平静的；安静的,up to now; not yet ended,yet,even now,calm,He is ______ sleeping at noon.,Some old shops are ______ open after decades.,他中午还在睡觉。,一些老店几十年后仍在营业。
taekwondo,n.,/taɪˈkwɒndəʊ/,跆拳道,a Korean martial art with kicks,martial art,kick sport,combat sport,Children learn ______ for discipline.,______ teaches respect as well as skill.,孩子学跆拳道以培养纪律。,跆拳道既教技能也教尊重。
tai chi,n.,/tai/ /ʧiː/,太极（拳）,a slow Chinese exercise for health,shadow boxing,Chinese exercise,soft martial art,Old people do ______ in the park.,______ helps older people keep their balance.,老人在公园打太极。,太极帮助老人保持平衡。
take photos,phr.,/teɪk/ /ˈfəʊtəʊz/,拍照,to capture pictures with a camera,photograph,shoot pictures,capture images,We ______ of the old bridge.,Tourists ______ to remember their trips.,我们给老桥拍照。,游客拍照以记住旅程。
tennis,n.,/ˈtɛnɪs/,网球,a game with rackets and a ball,racket sport,court game,ball game,She plays ______ every weekend.,______ is played in parks all over the world.,她每个周末打网球。,网球在世界各地的公园里都有人打。
terrible,adj.,/ˈtɛrəbəl/,讨厌的；可怕的,very bad; unpleasant,awful,dreadful,horrible,The weather was ______ yesterday.,A ______ accident can change a family's life.,昨天天气糟透了。,严重的事故能改变一个家庭的命运。
train,n.,/treɪn/,训练；接受训练,a line of carriages that run on rails,railway,locomotive,metro,We took the ______ to the city.,A fast ______ reduces traffic on the roads.,我们乘火车去城市。,高铁减少了公路上的车流。
